Isolate,Amikacin,Ampicillin,Amp/Sul,Cefepime,Cefoxitin,Ceftazidime,Ceftriaxone,Ciprofloxacin,Gentamicin,Levofloxacin,Meropenem,Nitrofurantoin,Pip/Taz,Trim/Sul,Tobramycin,ESBL,Cefazolin,KB Cefepime,KBPipTaz
14SP3-1,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,<=0.25,>=512,nan,>=320,<=1,nan,>=64,28,27
14SP3-2,<=2,>=32,>=32,<=1,>=64,2,nan,<=0.25,<=1,0.25,<=0.25,>=512,nan,>=320,<=1,nan,>=64,28,27
14SP3-3,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,0.5,>=512,nan,>=320,<=1,nan,>=64,28,25
14SP3-4,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,0.5,>=512,nan,>=320,<=1,nan,>=64,28,25
14SP3-5,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,<=0.25,>=512,nan,>=320,<=1,nan,>=64,29,27
14SP3-6,4,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,1,>=512,nan,>=320,<=1,nan,>=64,28,25
14SP3-7,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,0.5,>=512,nan,>=320,<=1,nan,>=64,27,25
14SP3-8,4,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,0.5,>=512,nan,>=320,<=1,nan,>=64,26,22
14SP3-9,4,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,1,>=512,nan,>=320,<=1,nan,>=64,27,26
14SP3-10,4,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,0.5,>=512,nan,>=320,<=1,nan,>=64,28,25
14SP3-11,4,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,0.5,>=512,nan,>=320,<=1,nan,>=64,28,26
14SP3-12,4,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,0.5,>=512,nan,>=320,<=1,nan,>=64,28,25
14SP3-13,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,<=0.25,>=512,nan,>=320,<=1,nan,>=64,27,26
14SP3-14,4,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,1,>=512,nan,>=320,<=1,nan,>=64,29,25
14SP3-15,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,0.5,>=512,nan,>=320,<=1,nan,>=64,29,26
14SP3-16,4,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,0.5,>=512,nan,>=320,<=1,nan,>=64,28,25
14SP3-17,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,1,>=512,nan,>=320,<=1,nan,>=64,28,26
14SP3-18,4,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,0.5,>=512,nan,>=320,<=1,nan,>=64,28,25
14SP3-19,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,<=0.25,>=512,nan,>=320,<=1,nan,>=64,30,27
14SP3-20,4,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,0.5,>=512,nan,>=320,<=1,nan,>=64,29,24
14SP3-21,4,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,1,>=512,nan,>=320,<=1,nan,>=64,27,26
14SP3-22,4,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,1,>=512,nan,>=320,<=1,nan,>=64,29,25
14SP3-23,4,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,1,>=512,nan,>=320,<=1,nan,>=64,29,25
14SP3-24,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,<=0.125,<=0.25,>=512,nan,>=320,<=1,nan,>=64,28,26
