Isolate,Amikacin,Ampicillin,Amp/Sul,Cefepime,Cefoxitin,Ceftazidime,Ceftriaxone,Ciprofloxacin,Gentamicin,Levofloxacin,Meropenem,Nitrofurantoin,Pip/Taz,Trim/Sul,Tobramycin,ESBL,Cefazolin,KB Cefepime,KBPipTaz
10SP4b-1,<=2,>=32,>=32,>=64,>=64,>=64,nan,<=0.25,<=1,1,8,>=512,nan,80,<=1,nan,>=64,14,10
10SP4b-2,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,15,11
10SP4b-3,<=2,>=32,>=32,4,>=64,16,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,24,21
10SP4b-4,<=2,>=32,>=32,8,>=64,16,nan,<=0.25,<=1,1,<=0.25,>=512,nan,160,<=1,nan,>=64,23,21
10SP4b-5,<=2,>=32,>=32,8,>=64,16,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,22,18
10SP4b-6,<=2,>=32,>=32,8,>=64,16,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,22,21
10SP4b-7,<=2,>=32,>=32,4,>=64,16,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,20,15
10SP4b-8,<=2,>=32,>=32,2,>=64,16,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,24,21
10SP4b-9,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,14,9
10SP4b-10,<=2,>=32,>=32,4,>=64,16,nan,<=0.25,<=1,2,<=0.25,>=512,nan,160,<=1,nan,>=64,22,20
10SP4b-11,<=2,>=32,>=32,4,>=64,16,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,22,20
10SP4b-12,<=2,>=32,>=32,4,>=64,16,nan,<=0.25,<=1,1,<=0.25,>=512,nan,160,<=1,nan,>=64,22,20
10SP4b-13,<=2,>=32,>=32,8,>=64,32,nan,<=0.25,<=1,2,<=0.25,>=512,nan,80,<=1,nan,>=64,17,14
10SP4b-14,<=2,>=32,>=32,4,>=64,16,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,23,18
10SP4b-15,<=2,>=32,>=32,8,>=64,16,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,19,16
10SP4b-16,<=2,>=32,>=32,4,>=64,16,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,21,19
10SP4b-17,<=2,>=32,>=32,4,>=64,16,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,23,20
10SP4b-18,<=2,>=32,>=32,4,>=64,16,nan,<=0.25,<=1,1,<=0.25,>=512,nan,160,<=1,nan,>=64,23,20
10SP4b-19,<=2,>=32,>=32,2,>=64,16,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,22,21
10SP4b-20,<=2,>=32,>=32,8,>=64,16,nan,<=0.25,<=1,1,<=0.25,>=512,nan,160,<=1,nan,>=64,22,20
10SP4b-21,<=2,>=32,>=32,4,>=64,16,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,23,21
10SP4b-22,<=2,>=32,>=32,4,>=64,16,nan,<=0.25,<=1,2,<=0.25,>=512,nan,80,<=1,nan,>=64,22,21
10SP4b-23,<=2,>=32,>=32,4,>=64,16,nan,<=0.25,<=1,2,<=0.25,>=512,nan,80,<=1,nan,>=64,22,19
10SP4b-24,<=2,>=32,>=32,4,>=64,16,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,22,21
