Isolate,Amikacin,Ampicillin,Amp/Sul,Cefepime,Cefoxitin,Ceftazidime,Ceftriaxone,Ciprofloxacin,Gentamicin,Levofloxacin,Meropenem,Nitrofurantoin,Pip/Taz,Trim/Sul,Tobramycin,ESBL,Cefazolin,KB Cefepime,KBPipTaz
01SP10-1,<=2,nan,nan,4,nan,4,nan,<=0.25,<=1,1,8,nan,nan,nan,<=1,nan,>=64,22,21
01SP10-2,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,8,nan,nan,nan,<=1,nan,>=64,21,21
01SP10-3,<=2,nan,nan,16,nan,16,nan,<=0.25,<=1,1,>=16,nan,nan,nan,<=1,nan,>=64,17,14
01SP10-4,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,8,nan,nan,nan,<=1,nan,>=64,22,22
01SP10-5,4,nan,nan,8,nan,8,nan,<=0.25,<=1,2,>=16,nan,nan,nan,<=1,nan,>=64,21,20
01SP10-6,<=2,nan,nan,16,nan,32,nan,<=0.25,<=1,1,>=16,nan,nan,nan,<=1,nan,>=64,17,13
01SP10-7,<=2,nan,nan,16,nan,32,nan,<=0.25,<=1,1,>=16,nan,nan,nan,<=1,nan,>=64,17,14
01SP10-8,<=2,nan,nan,16,nan,32,nan,<=0.25,<=1,1,>=16,nan,nan,nan,<=1,nan,>=64,17,13
01SP10-9,<=2,nan,nan,8,nan,4,nan,<=0.25,<=1,1,>=16,nan,nan,nan,<=1,nan,>=64,21,21
01SP10-10,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,>=16,nan,nan,nan,<=1,nan,>=64,22,22
01SP10-11,<=2,nan,nan,16,nan,32,nan,<=0.25,<=1,1,>=16,nan,nan,nan,<=1,nan,>=64,17,14
01SP10-12,4,nan,nan,4,nan,4,nan,<=0.25,<=1,1,>=16,nan,nan,nan,<=1,nan,>=64,21,21
01SP10-13,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,8,nan,nan,nan,<=1,nan,>=64,22,22
01SP10-14,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,8,nan,nan,nan,<=1,nan,>=64,23,23
01SP10-15,4,nan,nan,8,nan,4,nan,<=0.25,<=1,1,>=16,nan,nan,nan,<=1,nan,>=64,20,21
01SP10-16,<=2,nan,nan,16,nan,32,nan,<=0.25,<=1,1,>=16,nan,nan,nan,<=1,nan,>=64,17,13
01SP10-17,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,8,nan,nan,nan,<=1,nan,>=64,22,22
01SP10-18,4,nan,nan,8,nan,8,nan,<=0.25,<=1,1,>=16,nan,nan,nan,<=1,nan,>=64,21,22
01SP10-19,<=2,nan,nan,16,nan,32,nan,<=0.25,<=1,1,>=16,nan,nan,nan,<=1,nan,>=64,16,14
01SP10-20,<=2,nan,nan,16,nan,32,nan,<=0.25,<=1,1,>=16,nan,nan,nan,<=1,nan,>=64,17,15
01SP10-21,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,8,nan,nan,nan,<=1,nan,>=64,22,22
01SP10-22,<=2,nan,nan,16,nan,32,nan,<=0.25,<=1,1,>=16,nan,nan,nan,<=1,nan,>=64,17,15
01SP10-23,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,8,nan,nan,nan,<=1,nan,>=64,22,22
01SP10-24,<=2,nan,nan,4,nan,4,nan,<=0.25,<=1,1,>=16,nan,nan,nan,<=1,nan,>=64,22,22
