Isolate,Amikacin,Ampicillin,Amp/Sul,Cefepime,Cefoxitin,Ceftazidime,Ceftriaxone,Ciprofloxacin,Gentamicin,Levofloxacin,Meropenem,Nitrofurantoin,Pip/Taz,Trim/Sul,Tobramycin,ESBL,Cefazolin,KB Cefepime,KBPipTaz
19SP3-1,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,80,<=1,nan,>=64,16,11
19SP3-2,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,80,<=1,nan,>=64,19,17
19SP3-3,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,160,<=1,nan,>=64,18,19
19SP3-4,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,160,<=1,nan,>=64,19,23
19SP3-5,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,160,<=1,nan,>=64,20,20
19SP3-6,<=2,>=32,>=32,8,>=64,2,nan,>=4,2,>=8,<=0.25,>=512,nan,>=320,<=1,nan,>=64,20,18
19SP3-7,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,160,<=1,nan,>=64,20,18
19SP3-8,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,160,<=1,nan,>=64,20,17
19SP3-9,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,160,<=1,nan,>=64,18,18
19SP3-10,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,1,>=512,nan,160,<=1,nan,>=64,20,21
19SP3-11,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,160,<=1,nan,>=64,19,17
19SP3-12,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,160,<=1,nan,>=64,19,16
19SP3-13,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,160,<=1,nan,>=64,20,19
19SP3-14,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,1,>=512,nan,80,<=1,nan,>=64,19,18
19SP3-15,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,256,nan,80,<=1,nan,>=64,18,19
19SP3-16,8,>=32,>=32,4,>=64,<=1,nan,>=4,4,>=8,<=0.25,>=512,nan,80,<=1,nan,>=64,21,21
19SP3-17,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,160,<=1,nan,>=64,19,19
19SP3-18,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,160,<=1,nan,>=64,19,20
19SP3-19,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,160,<=1,nan,>=64,19,23
19SP3-20,32,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,160,<=1,nan,>=64,19,17
19SP3-21,16,>=32,>=32,4,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,160,<=1,nan,>=64,21,18
19SP3-22,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,160,<=1,nan,>=64,20,19
19SP3-23,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,160,<=1,nan,>=64,19,19
19SP3-24,32,>=32,>=32,16,>=64,4,nan,>=4,>=16,>=8,<=0.25,>=512,nan,>=320,2,nan,>=64,19,25
