Isolate,Amikacin,Ampicillin,Amp/Sul,Cefepime,Cefoxitin,Ceftazidime,Ceftriaxone,Ciprofloxacin,Gentamicin,Levofloxacin,Meropenem,Nitrofurantoin,Pip/Taz,Trim/Sul,Tobramycin,ESBL,Cefazolin,KB Cefepime,KBPipTaz
01SP9-1,<=2,nan,nan,4,nan,4,nan,<=0.25,<=1,1,>=16,nan,nan,nan,<=1,nan,>=64,23,22
01SP9-2,<=2,nan,nan,4,nan,4,nan,<=0.25,<=1,1,>=16,nan,nan,nan,<=1,nan,>=64,23,23
01SP9-3,<=2,nan,nan,4,nan,4,nan,<=0.25,<=1,1,>=16,nan,nan,nan,<=1,nan,>=64,22,22
01SP9-4,<=2,nan,nan,4,nan,4,nan,<=0.25,<=1,1,>=16,nan,nan,nan,<=1,nan,>=64,23,23
01SP9-5,<=2,nan,nan,4,nan,4,nan,<=0.25,<=1,1,>=16,nan,nan,nan,<=1,nan,>=64,22,22
01SP9-6,<=2,nan,nan,4,nan,4,nan,<=0.25,<=1,1,>=16,nan,nan,nan,<=1,nan,>=64,23,22
01SP9-7,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,>=16,nan,nan,nan,<=1,nan,>=64,21,22
01SP9-8,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,>=16,nan,nan,nan,<=1,nan,>=64,22,22
01SP9-9,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,>=16,nan,nan,nan,<=1,nan,>=64,23,23
01SP9-10,<=2,nan,nan,4,nan,4,nan,<=0.25,<=1,1,8,nan,nan,nan,<=1,nan,>=64,22,22
01SP9-11,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,>=16,nan,nan,nan,<=1,nan,>=64,23,22
01SP9-12,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,>=16,nan,nan,nan,<=1,nan,>=64,23,23
01SP9-13,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,>=16,nan,nan,nan,<=1,nan,>=64,22,22
01SP9-14,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,>=16,nan,nan,nan,<=1,nan,>=64,22,22
01SP9-15,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,>=16,nan,nan,nan,<=1,nan,>=64,22,22
01SP9-16,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,>=16,nan,nan,nan,<=1,nan,>=64,22,22
01SP9-17,<=2,nan,nan,4,nan,4,nan,<=0.25,<=1,1,>=16,nan,nan,nan,<=1,nan,>=64,22,22
01SP9-18,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,>=16,nan,nan,nan,<=1,nan,>=64,22,22
01SP9-19,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,8,nan,nan,nan,<=1,nan,>=64,22,22
01SP9-20,<=2,nan,nan,4,nan,4,nan,<=0.25,<=1,1,8,nan,nan,nan,<=1,nan,>=64,23,22
01SP9-21,<=2,nan,nan,4,nan,4,nan,<=0.25,<=1,1,>=16,nan,nan,nan,<=1,nan,>=64,21,22
01SP9-22,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,8,nan,nan,nan,<=1,nan,>=64,23,23
01SP9-23,<=2,nan,nan,4,nan,4,nan,<=0.25,<=1,1,>=16,nan,nan,nan,<=1,nan,>=64,23,23
01SP9-24,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,>=16,nan,nan,nan,<=1,nan,>=64,22,23
