Isolate,Amikacin,Ampicillin,Amp/Sul,Cefepime,Cefoxitin,Ceftazidime,Ceftriaxone,Ciprofloxacin,Gentamicin,Levofloxacin,Meropenem,Nitrofurantoin,Pip/Taz,Trim/Sul,Tobramycin,ESBL,Cefazolin,KB Cefepime,KBPipTaz
10SP1b-1,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,15,11
10SP1b-2,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,14,9
10SP1b-3,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,15,8
10SP1b-4,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,15,10
10SP1b-5,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,14,8
10SP1b-6,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,2,<=0.25,256,nan,80,<=1,nan,>=64,15,10
10SP1b-7,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,13,9
10SP1b-8,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,14,10
10SP1b-9,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,13,9
10SP1b-10,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,14,10
10SP1b-11,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,14,9
10SP1b-12,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,15,10
10SP1b-13,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,13,8
10SP1b-14,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,14,10
10SP1b-15,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,14,9
10SP1b-16,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,1,<=0.25,256,nan,80,<=1,nan,>=64,15,10
10SP1b-17,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,15,8
10SP1b-18,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,15,10
10SP1b-19,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,14,10
10SP1b-20,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,15,9
10SP1b-21,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,14,9
10SP1b-22,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,15,10
10SP1b-23,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,14,10
10SP1b-24,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,15,10
