Isolate,Amikacin,Ampicillin,Amp/Sul,Cefepime,Cefoxitin,Ceftazidime,Ceftriaxone,Ciprofloxacin,Gentamicin,Levofloxacin,Meropenem,Nitrofurantoin,Pip/Taz,Trim/Sul,Tobramycin,ESBL,Cefazolin,KB Cefepime,KBPipTaz
46SP3-1,<=2,>=32,>=32,2,>=64,2,nan,<=0.25,<=1,1,0.5,>=512,nan,80,<=1,nan,>=64,27,26
46SP3-2,<=2,>=32,>=32,<=1,>=64,<=1,nan,<=0.25,<=1,1,<=0.25,>=512,nan,>=320,<=1,nan,>=64,26,26
46SP3-3,<=2,>=32,>=32,2,>=64,2,nan,<=0.25,<=1,1,<=0.25,>=512,nan,160,<=1,nan,>=64,26,26
46SP3-4,<=2,>=32,>=32,2,>=64,2,nan,<=0.25,<=1,1,0.5,>=512,nan,160,<=1,nan,>=64,27,26
46SP3-5,<=2,>=32,>=32,<=1,>=64,<=1,nan,<=0.25,<=1,1,<=0.25,>=512,nan,>=320,<=1,nan,>=64,26,25
46SP3-6,<=2,>=32,>=32,<=1,>=64,<=1,nan,<=0.25,<=1,1,<=0.25,>=512,nan,>=320,<=1,nan,>=64,24,24
46SP3-7,<=2,>=32,>=32,2,>=64,2,nan,<=0.25,<=1,1,0.5,>=512,nan,160,<=1,nan,>=64,25,27
46SP3-8,<=2,>=32,>=32,2,>=64,2,nan,<=0.25,<=1,1,0.5,>=512,nan,80,<=1,nan,>=64,25,25
46SP3-9,<=2,>=32,>=32,<=1,>=64,<=1,nan,<=0.25,<=1,1,<=0.25,>=512,nan,>=320,<=1,nan,>=64,26,26
46SP3-10,<=2,>=32,>=32,<=1,>=64,<=1,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,26,25
46SP3-11,<=2,>=32,>=32,2,>=64,2,nan,<=0.25,<=1,1,0.5,>=512,nan,80,<=1,nan,>=64,25,26
46SP3-12,<=2,>=32,>=32,2,>=64,2,nan,<=0.25,<=1,1,0.5,>=512,nan,80,<=1,nan,>=64,27,26
46SP3-13,<=2,>=32,>=32,2,>=64,2,nan,<=0.25,<=1,1,0.5,>=512,nan,80,<=1,nan,>=64,27,25
46SP3-14,<=2,>=32,>=32,2,>=64,2,nan,<=0.25,<=1,1,0.5,>=512,nan,80,<=1,nan,>=64,25,25
46SP3-15,<=2,>=32,>=32,2,>=64,2,nan,<=0.25,<=1,1,0.5,>=512,nan,160,<=1,nan,>=64,26,26
46SP3-16,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,1,1,>=512,nan,160,<=1,nan,>=64,25,24
46SP3-17,<=2,>=32,>=32,<=1,>=64,2,nan,<=0.25,<=1,1,0.5,>=512,nan,>=320,<=1,nan,>=64,26,25
46SP3-18,<=2,>=32,>=32,<=1,>=64,<=1,nan,<=0.25,<=1,1,0.5,>=512,nan,>=320,<=1,nan,>=64,26,25
46SP3-19,<=2,>=32,>=32,2,>=64,2,nan,<=0.25,<=1,1,0.5,>=512,nan,80,<=1,nan,>=64,26,25
46SP3-20,<=2,>=32,>=32,2,>=64,2,nan,<=0.25,<=1,1,0.5,>=512,nan,160,<=1,nan,>=64,25,25
46SP3-21,<=2,>=32,>=32,2,>=64,2,nan,<=0.25,<=1,1,0.5,>=512,nan,80,<=1,nan,>=64,26,26
46SP3-22,<=2,>=32,>=32,<=1,>=64,<=1,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,24,24
46SP3-23,<=2,>=32,>=32,2,>=64,2,nan,<=0.25,<=1,1,0.5,>=512,nan,160,<=1,nan,>=64,25,26
46SP3-24,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,4,0.25,1,>=512,nan,>=320,<=1,nan,>=64,24,24
