Isolate,Amikacin,Ampicillin,Amp/Sul,Cefepime,Cefoxitin,Ceftazidime,Ceftriaxone,Ciprofloxacin,Gentamicin,Levofloxacin,Meropenem,Nitrofurantoin,Pip/Taz,Trim/Sul,Tobramycin,ESBL,Cefazolin,KB Cefepime,KBPipTaz
13SP3-13,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,<=0.25,nan,nan,nan,<=1,nan,>=64,24,25
13SP3-14,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,<=0.25,nan,nan,nan,<=1,nan,>=64,25,26
13SP3-15,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,<=0.25,nan,nan,nan,<=1,nan,>=64,25,26
13SP3-16,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,<=0.25,nan,nan,nan,<=1,nan,>=64,24,25
13SP3-17,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,<=0.25,nan,nan,nan,<=1,nan,>=64,20,25
13SP3-18,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,<=0.25,nan,nan,nan,<=1,nan,>=64,25,25
13SP3-19,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,<=0.25,nan,nan,nan,<=1,nan,>=64,24,26
13SP3-20,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,<=0.25,nan,nan,nan,<=1,nan,>=64,24,25
13SP3-21,4,nan,nan,2,nan,4,nan,<=0.25,<=1,1,<=0.25,nan,nan,nan,<=1,nan,>=64,23,25
13SP3-22,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,<=0.25,nan,nan,nan,<=1,nan,>=64,25,25
13SP3-23,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,<=0.25,nan,nan,nan,<=1,nan,>=64,24,26
13SP3-24,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,<=0.25,nan,nan,nan,<=1,nan,>=64,24,24
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
