Isolate,Amikacin,Ampicillin,Amp/Sul,Cefepime,Cefoxitin,Ceftazidime,Ceftriaxone,Ciprofloxacin,Gentamicin,Levofloxacin,Meropenem,Nitrofurantoin,Pip/Taz,Trim/Sul,Tobramycin,ESBL,Cefazolin,KB Cefepime,KBPipTaz
46SP1B-1,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,1,0.5,>=512,nan,160,<=1,nan,>=64,24,24
46SP1B-2,<=2,>=32,>=32,<=1,>=64,<=1,nan,<=0.25,<=1,1,<=0.25,>=512,nan,>=320,<=1,nan,>=64,25,25
46SP1B-3,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,1,0.5,>=512,nan,160,<=1,nan,>=64,24,24
46SP1B-4,<=2,>=32,>=32,<=1,>=64,<=1,nan,<=0.25,<=1,1,<=0.25,>=512,nan,>=320,<=1,nan,>=64,25,26
46SP1B-5,<=2,>=32,>=32,<=1,>=64,<=1,nan,<=0.25,<=1,1,<=0.25,>=512,nan,>=320,<=1,nan,>=64,26,26
46SP1B-6,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,1,0.5,>=512,nan,160,<=1,nan,>=64,23,24
46SP1B-7,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,1,0.5,>=512,nan,160,<=1,nan,>=64,25,26
46SP1B-8,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,2,<=0.125,0.5,>=512,nan,>=320,<=1,nan,>=64,24,25
46SP1B-9,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,1,0.5,>=512,nan,160,<=1,nan,>=64,25,25
46SP1B-10,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,1,0.5,>=512,nan,>=320,<=1,nan,>=64,24,25
46SP1B-11,<=2,>=32,>=32,2,>=64,2,nan,<=0.25,<=1,1,<=0.25,>=512,nan,160,<=1,nan,>=64,26,27
46SP1B-12,<=2,>=32,>=32,2,>=64,2,nan,<=0.25,<=1,1,0.5,>=512,nan,>=320,<=1,nan,>=64,25,25
46SP1B-13,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,1,0.5,>=512,nan,160,<=1,nan,>=64,24,26
46SP1B-14,<=2,>=32,>=32,2,>=64,2,nan,<=0.25,<=1,1,0.5,>=512,nan,160,<=1,nan,>=64,26,26
46SP1B-15,<=2,>=32,>=32,2,>=64,<=1,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,25,26
46SP1B-16,<=2,>=32,>=32,<=1,>=64,<=1,nan,<=0.25,<=1,1,<=0.25,>=512,nan,>=320,<=1,nan,>=64,25,26
46SP1B-17,<=2,>=32,>=32,2,>=64,2,nan,<=0.25,<=1,1,<=0.25,>=512,nan,160,<=1,nan,>=64,25,26
46SP1B-18,<=2,>=32,>=32,<=1,>=64,<=1,nan,<=0.25,<=1,1,<=0.25,>=512,nan,>=320,<=1,nan,>=64,26,25
46SP1B-19,<=2,>=32,>=32,<=1,>=64,<=1,nan,<=0.25,<=1,1,<=0.25,>=512,nan,>=320,<=1,nan,>=64,26,27
46SP1B-20,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,1,0.5,>=512,nan,160,<=1,nan,>=64,25,24
46SP1B-21,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,2,<=0.125,0.5,>=512,nan,160,<=1,nan,>=64,25,25
46SP1B-22,<=2,>=32,>=32,2,>=64,2,nan,<=0.25,<=1,1,<=0.25,<=512,nan,160,<=1,nan,>=64,25,25
46SP1B-23,<=2,>=32,>=32,2,>=64,2,nan,<=0.25,<=1,1,<=0.25,>=512,nan,160,<=1,nan,>=64,25,26
46SP1B-24,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,1,0.5,>=512,nan,160,<=1,nan,>=64,26,26
