Isolate,Amikacin,Ampicillin,Amp/Sul,Cefepime,Cefoxitin,Ceftazidime,Ceftriaxone,Ciprofloxacin,Gentamicin,Levofloxacin,Meropenem,Nitrofurantoin,Pip/Taz,Trim/Sul,Tobramycin,ESBL,Cefazolin,KB Cefepime,KBPipTaz
19SP2-1,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,80,<=1,nan,>=64,17,17
19SP2-2,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,160,<=1,nan,>=64,18,17
19SP2-3,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,80,<=1,nan,>=64,17,17
19SP2-4,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,160,<=1,nan,>=64,19,16
19SP2-5,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,160,<=1,nan,>=64,18,18
19SP2-6,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,160,<=1,nan,>=64,19,17
19SP2-7,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,160,<=1,nan,>=64,18,18
19SP2-8,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,80,<=1,nan,>=64,19,19
19SP2-9,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,>=320,<=1,nan,>=64,17,17
19SP2-10,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,80,<=1,nan,>=64,17,14
19SP2-11,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,>=320,<=1,nan,>=64,17,14
19SP2-12,32,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,<=20,<=1,nan,>=64,20,16
19SP2-13,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,160,<=1,nan,>=64,19,18
19SP2-14,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,160,<=1,nan,>=64,19,17
19SP2-15,32,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,160,<=1,nan,>=64,19,17
19SP2-16,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,160,<=1,nan,>=64,19,16
19SP2-17,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,160,<=1,nan,>=64,21,29
19SP2-18,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,160,<=1,nan,>=64,19,19
19SP2-19,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,>=320,<=1,nan,>=64,18,18
19SP2-20,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,160,<=1,nan,>=64,19,17
19SP2-21,16,>=32,>=32,4,>=64,<=1,nan,>=4,8,>=8,<=0.25,>=512,nan,160,<=1,nan,>=64,22,23
19SP2-22,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,80,<=1,nan,>=64,19,17
19SP2-23,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,160,<=1,nan,>=64,20,18
19SP2-24,16,>=32,>=32,8,>=64,4,nan,>=4,8,>=8,<=0.25,>=512,nan,>=320,<=1,nan,>=64,20,17
