Isolate,Amikacin,Ampicillin,Amp/Sul,Cefepime,Cefoxitin,Ceftazidime,Ceftriaxone,Ciprofloxacin,Gentamicin,Levofloxacin,Meropenem,Nitrofurantoin,Pip/Taz,Trim/Sul,Tobramycin,ESBL,Cefazolin,KB Cefepime,KBPipTaz
42SP2-1,<=2,>=32,>=32,8,>=64,>=64,nan,<=0.25,<=1,0.5,0.5,>=512,nan,80,<=1,nan,>=64,18,12
42SP2-2,<=2,>=32,>=32,>=64,>=64,>=64,nan,<=0.25,2,0.5,>=16,>=512,nan,80,<=1,nan,>=64,19,12
42SP2-3,<=2,>=32,>=32,>=64,>=64,>=64,nan,<=0.25,<=1,0.5,1,>=512,nan,160,<=1,nan,>=64,15,11
42SP2-4,<=2,>=32,>=32,32,>=64,>=64,nan,<=0.25,<=1,0.5,1,>=512,nan,80,<=1,nan,>=64,18,11
42SP2-5,<=2,>=32,>=32,>=64,>=64,>=64,nan,<=0.25,<=1,0.25,1,>=512,nan,>=320,<=1,nan,>=64,16,10
42SP2-6,<=2,>=32,>=32,>=64,>=64,>=64,nan,<=0.25,<=1,0.5,0.5,>=512,nan,80,<=1,nan,>=64,16,10
42SP2-7,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,0.5,1,>=512,nan,80,<=1,nan,>=64,19,14
42SP2-8,<=2,>=32,>=32,32,>=64,>=64,nan,<=0.25,<=1,0.5,1,>=512,nan,80,<=1,nan,>=64,18,12
42SP2-9,<=2,>=32,>=32,32,>=64,>=64,nan,<=0.25,<=1,0.5,1,>=512,nan,80,<=1,nan,>=64,18,13
42SP2-10,<=2,>=32,>=32,>=64,>=64,>=64,nan,<=0.25,<=1,0.5,1,>=512,nan,>=320,<=1,nan,>=64,15,10
42SP2-11,<=2,>=32,>=32,32,>=64,>=64,nan,<=0.25,<=1,0.5,0.5,>=512,nan,160,<=1,nan,>=64,19,14
42SP2-12,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,0.5,0.5,>=512,nan,80,<=1,nan,>=64,18,11
42SP2-13,<=2,>=32,>=32,>=64,>=64,>=64,nan,<=0.25,<=1,0.25,1,>=512,nan,160,<=1,nan,>=64,15,10
42SP2-14,<=2,>=32,>=32,32,>=64,>=64,nan,<=0.25,<=1,0.5,1,>=512,nan,80,<=1,nan,>=64,19,13
42SP2-15,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,0.5,1,>=512,nan,80,<=1,nan,>=64,18,13
42SP2-16,<=2,>=32,>=32,>=64,>=64,>=64,nan,<=0.25,<=1,0.5,1,>=512,nan,160,<=1,nan,>=64,15,9
42SP2-17,4,>=32,>=32,32,>=64,>=64,nan,<=0.25,<=1,0.5,0.5,>=512,nan,160,<=1,nan,>=64,19,13
42SP2-18,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,0.5,0.5,>=512,nan,80,<=1,nan,>=64,18,12
42SP2-19,<=2,>=32,>=32,32,>=64,>=64,nan,<=0.25,<=1,0.5,1,>=512,nan,80,<=1,nan,>=64,20,14
42SP2-20,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,0.5,1,>=512,nan,80,<=1,nan,>=64,18,11
42SP2-21,<=2,>=32,>=32,<=1,>=64,2,nan,<=0.25,<=1,0.5,<=0.25,>=512,nan,160,<=1,nan,>=64,29,27
42SP2-22,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,0.5,1,>=512,nan,80,<=1,nan,>=64,20,12
42SP2-23,<=2,>=32,>=32,>=64,>=64,>=64,nan,<=0.25,<=1,0.25,1,>=512,nan,160,<=1,nan,>=64,14,10
42SP2-24,<=2,>=32,>=32,32,>=64,>=64,nan,<=0.25,<=1,0.5,1,>=512,nan,80,<=1,nan,>=64,18,13
