Isolate,Amikacin,Ampicillin,Amp/Sul,Cefepime,Cefoxitin,Ceftazidime,Ceftriaxone,Ciprofloxacin,Gentamicin,Levofloxacin,Meropenem,Nitrofurantoin,Pip/Taz,Trim/Sul,Tobramycin,ESBL,Cefazolin,KB Cefepime,KBPipTaz
09SP1-1,<=2,>=32,>=32,<=1,>=64,<=1,nan,<=0.25,<=1,0.5,<=0.25,>=512,nan,80,<=1,nan,>=64,25,26
09SP1-2,<=2,>=32,>=32,<=1,>=64,<=1,nan,<=0.25,<=1,0.5,<=0.25,>=512,nan,80,<=1,nan,>=64,26,26
09SP1-3,<=2,>=32,>=32,<=1,>=64,<=1,nan,<=0.25,<=1,0.5,<=0.25,>=512,nan,80,<=1,nan,>=64,26,27
09SP1-4,<=2,>=32,>=32,<=1,>=64,2,nan,<=0.25,<=1,0.5,<=0.25,>=512,nan,80,<=1,nan,>=64,26,26
09SP1-5,<=2,>=32,>=32,<=1,>=64,<=1,nan,<=0.25,<=1,0.5,<=0.25,>=512,nan,80,<=1,nan,>=64,26,25
09SP1-6,<=2,>=32,>=32,<=1,>=64,2,nan,<=0.25,<=1,0.5,<=0.25,>=512,nan,80,<=1,nan,>=64,25,25
09SP1-7,<=2,>=32,>=32,<=1,>=64,<=1,nan,<=0.25,<=1,0.5,<=0.25,>=512,nan,80,<=1,nan,>=64,26,25
09SP1-8,<=2,>=32,>=32,<=1,>=64,<=1,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,26,27
09SP1-9,<=2,>=32,>=32,<=1,>=64,<=1,nan,<=0.25,<=1,0.5,<=0.25,>=512,nan,80,<=1,nan,>=64,27,26
09SP1-10,<=2,>=32,>=32,<=1,>=64,2,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,26,27
09SP1-11,<=2,>=32,>=32,<=1,>=64,<=1,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,26,26
09SP1-12,<=2,>=32,>=32,4,>=64,4,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,26,26
09SP1-13,<=2,>=32,>=32,<=1,>=64,<=1,nan,<=0.25,<=1,0.5,<=0.25,>=512,nan,80,<=1,nan,>=64,25,26
09SP1-14,<=2,>=32,>=32,<=1,>=64,<=1,nan,<=0.25,<=1,0.5,<=0.25,>=512,nan,80,<=1,nan,>=64,25,27
09SP1-15,<=2,>=32,>=32,<=1,>=64,2,nan,<=0.25,<=1,0.5,<=0.25,>=512,nan,80,<=1,nan,>=64,25,26
09SP1-16,<=2,>=32,>=32,<=1,>=64,<=1,nan,<=0.25,<=1,0.5,<=0.25,>=512,nan,80,<=1,nan,>=64,27,26
09SP1-17,<=2,>=32,>=32,2,>=64,2,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,26,26
09SP1-18,<=2,>=32,>=32,<=1,>=64,2,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,25,27
09SP1-19,<=2,>=32,>=32,2,>=64,2,nan,<=0.25,<=1,1,<=0.25,>=512,nan,80,<=1,nan,>=64,26,26
09SP1-20,<=2,>=32,>=32,2,>=64,2,nan,<=0.25,<=1,0.5,<=0.25,>=512,nan,80,<=1,nan,>=64,26,26
09SP1-21,<=2,>=32,>=32,2,>=64,2,nan,<=0.25,<=1,0.5,<=0.25,>=512,nan,80,<=1,nan,>=64,26,27
09SP1-22,<=2,>=32,>=32,2,>=64,2,nan,<=0.25,<=1,0.5,<=0.25,>=512,nan,80,<=1,nan,>=64,27,27
09SP1-23,<=2,>=32,>=32,2,>=64,2,nan,<=0.25,<=1,0.5,<=0.25,>=512,nan,80,<=1,nan,>=64,27,27
09SP1-24,<=2,>=32,>=32,2,>=64,2,nan,<=0.25,<=1,0.5,<=0.25,>=512,nan,80,<=1,nan,>=64,25,27
