Isolate,Amikacin,Ampicillin,Amp/Sul,Cefepime,Cefoxitin,Ceftazidime,Ceftriaxone,Ciprofloxacin,Gentamicin,Levofloxacin,Meropenem,Nitrofurantoin,Pip/Taz,Trim/Sul,Tobramycin,ESBL,Cefazolin,KB Cefepime,KBPipTaz
13SP1-1,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,<=0.25,nan,nan,nan,<=1,nan,>=64,25,25
13SP1-2,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,<=0.25,nan,nan,nan,<=1,nan,>=64,25,25
13SP1-3,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,<=0.25,nan,nan,nan,<=1,nan,>=64,24,25
13SP1-4,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,<=0.25,nan,nan,nan,<=1,nan,>=64,25,26
13SP1-5,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,<=0.25,nan,nan,nan,<=1,nan,>=64,25,25
13SP1-6,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,<=0.25,nan,nan,nan,<=1,nan,>=64,24,25
13SP1-7,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,<=0.25,nan,nan,nan,<=1,nan,>=64,25,25
13SP1-8,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,<=0.25,nan,nan,nan,<=1,nan,>=64,25,25
13SP1-9,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,<=0.25,nan,nan,nan,<=1,nan,>=64,24,24
13SP1-10,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,<=0.25,nan,nan,nan,<=1,nan,>=64,25,25
13SP1-11,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,<=0.25,nan,nan,nan,<=1,nan,>=64,24,25
13SP1-12,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,<=0.25,nan,nan,nan,<=1,nan,>=64,24,25
13SP1-13,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,<=0.25,nan,nan,nan,<=1,nan,>=64,25,25
13SP1-14,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,<=0.25,nan,nan,nan,<=1,nan,>=64,25,26
13SP1-15,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,<=0.25,nan,nan,nan,<=1,nan,>=64,25,26
13SP1-16,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,<=0.25,nan,nan,nan,<=1,nan,>=64,25,26
13SP1-17,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,<=0.25,nan,nan,nan,<=1,nan,>=64,25,25
13SP1-18,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,<=0.25,nan,nan,nan,<=1,nan,>=64,26,26
13SP1-19,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,<=0.25,nan,nan,nan,<=1,nan,>=64,25,25
13SP1-20,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,<=0.25,nan,nan,nan,<=1,nan,>=64,25,26
13SP1-21,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,<=0.25,nan,nan,nan,<=1,nan,>=64,26,26
13SP1-22,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,<=0.25,nan,nan,nan,<=1,nan,>=64,25,25
13SP1-23,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,<=0.25,nan,nan,nan,<=1,nan,>=64,24,25
13SP1-24,<=2,nan,nan,2,nan,4,nan,<=0.25,<=1,1,<=0.25,nan,nan,nan,<=1,nan,>=64,23,25
