Isolate,Amikacin,Ampicillin,Amp/Sul,Cefepime,Cefoxitin,Ceftazidime,Ceftriaxone,Ciprofloxacin,Gentamicin,Levofloxacin,Meropenem,Nitrofurantoin,Pip/Taz,Trim/Sul,Tobramycin,ESBL,Cefazolin,KB Cefepime,KBPipTaz
42SP1-1,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,0.5,0.5,>=512,nan,160,<=1,nan,>=64,18,13
42SP1-2,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,0.5,1,>=512,nan,>=320,<=1,nan,>=64,18,13
42SP1-3,<=2,>=32,>=32,64,>=64,>=64,nan,<=0.25,<=1,0.5,1,>=512,nan,>=320,<=1,nan,>=64,16,10
42SP1-4,<=2,>=32,>=32,8,>=64,>=64,nan,<=0.25,<=1,0.5,1,>=512,nan,80,<=1,nan,>=64,18,12
42SP1-5,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,0.5,0.5,>=512,nan,>=320,<=1,nan,>=64,18,15
42SP1-6,<=2,>=32,>=32,8,>=64,>=64,nan,<=0.25,<=1,0.5,1,>=512,nan,80,<=1,nan,>=64,18,12
42SP1-7,<=2,>=32,>=32,16,>=64,>=64,nan,0.5,<=1,0.5,1,>=512,nan,>=320,<=1,nan,>=64,21,14
42SP1-8,<=2,>=32,>=32,8,>=64,>=64,nan,<=0.25,<=1,0.5,1,>=512,nan,>=320,<=1,nan,>=64,19,12
42SP1-9,<=2,>=32,>=32,8,>=64,>=64,nan,<=0.25,<=1,0.5,0.5,>=512,nan,80,<=1,nan,>=64,18,12
42SP1-10,<=2,>=32,>=32,8,>=64,>=64,nan,<=0.25,<=1,0.5,1,>=512,nan,80,<=1,nan,>=64,18,12
42SP1-11,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,0.5,1,>=512,nan,80,<=1,nan,>=64,17,11
42SP1-12,<=2,>=32,>=32,8,>=64,8,nan,1,<=1,4,1,>=512,nan,>=320,<=1,nan,>=64,22,21
42SP1-13,<=2,>=32,>=32,8,>=64,>=64,nan,<=0.25,<=1,0.5,1,>=512,nan,80,<=1,nan,>=64,18,12
42SP1-14,<=2,>=32,>=32,8,>=64,>=64,nan,<=0.25,<=1,0.5,4,>=512,nan,80,<=1,nan,>=64,18,13
42SP1-15,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,0.5,0.5,>=512,nan,160,<=1,nan,>=64,18,13
42SP1-16,<=2,>=32,>=32,8,>=64,4,nan,1,<=1,4,1,>=512,nan,>=320,<=1,nan,>=64,22,22
42SP1-17,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,0.5,1,>=512,nan,>=320,<=1,nan,>=64,18,13
42SP1-18,<=2,>=32,>=32,8,>=64,>=64,nan,<=0.25,<=1,0.5,1,>=512,nan,80,<=1,nan,>=64,19,13
42SP1-19,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,0.5,0.5,>=512,nan,80,<=1,nan,>=64,18,14
42SP1-20,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,0.5,0.5,>=512,nan,>=320,<=1,nan,>=64,18,13
42SP1-21,<=2,>=32,>=32,8,>=64,>=64,nan,<=0.25,<=1,0.5,1,>=512,nan,160,<=1,nan,>=64,18,13
42SP1-22,<=2,>=32,>=32,8,>=64,16,nan,<=0.25,<=1,0.5,<=0.25,>=512,nan,160,<=1,nan,>=64,20,13
42SP1-23,<=2,>=32,>=32,8,>=64,8,nan,1,<=1,4,1,>=512,nan,>=320,<=1,nan,>=64,21,21
42SP1-24,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,0.5,0.5,>=512,nan,>=320,<=1,nan,>=64,19,14
